# Chunk-averaged data for fix wall_2d and group wall
# Timestep Number-of-chunks Total-count
# Chunk OrigID Ncount v_x v_z
0 780 7800
  1 1 10 0 1
  2 2 10 2.032 1
  3 3 10 4.06401 1
  4 4 10 6.09602 1
  5 5 10 8.12802 1
  6 6 10 10.16 1
  7 7 10 12.192 1
  8 8 10 14.224 1
  9 9 10 16.256 1
  10 10 10 18.288 1
  11 11 10 20.3201 1
  12 12 10 22.3521 1
  13 13 10 24.3841 1
  14 14 10 26.4161 1
  15 15 10 28.4481 1
  16 16 10 30.4801 1
  17 17 10 32.5121 1
  18 18 10 34.5441 1
  19 19 10 36.5761 1
  20 20 10 38.6081 1
  21 21 10 0 3.032
  22 22 10 2.032 3.032
  23 23 10 4.06401 3.032
  24 24 10 6.09602 3.032
  25 25 10 8.12802 3.032
  26 26 10 10.16 3.032
  27 27 10 12.192 3.032
  28 28 10 14.224 3.032
  29 29 10 16.256 3.032
  30 30 10 18.288 3.032
  31 31 10 20.3201 3.032
  32 32 10 22.3521 3.032
  33 33 10 24.3841 3.032
  34 34 10 26.4161 3.032
  35 35 10 28.4481 3.032
  36 36 10 30.4801 3.032
  37 37 10 32.5121 3.032
  38 38 10 34.5441 3.032
  39 39 10 36.5761 3.032
  40 40 10 38.6081 3.032
  41 41 10 0 5.06401
  42 42 10 2.032 5.06401
  43 43 10 4.06401 5.06401
  44 44 10 6.09602 5.06401
  45 45 10 8.12802 5.06401
  46 46 10 10.16 5.06401
  47 47 10 12.192 5.06401
  48 48 10 14.224 5.06401
  49 49 10 16.256 5.06401
  50 50 10 18.288 5.06401
  51 51 10 20.3201 5.06401
  52 52 10 22.3521 5.06401
  53 53 10 24.3841 5.06401
  54 54 10 26.4161 5.06401
  55 55 10 28.4481 5.06401
  56 56 10 30.4801 5.06401
  57 57 10 32.5121 5.06401
  58 58 10 34.5441 5.06401
  59 59 10 36.5761 5.06401
  60 60 10 38.6081 5.06401
  61 61 10 0 7.09601
  62 62 10 2.032 7.09601
  63 63 10 4.06401 7.09601
  64 64 10 6.09602 7.09601
  65 65 10 8.12802 7.09601
  66 66 10 10.16 7.09601
  67 67 10 12.192 7.09601
  68 68 10 14.224 7.09601
  69 69 10 16.256 7.09601
  70 70 10 18.288 7.09601
  71 71 10 20.3201 7.09601
  72 72 10 22.3521 7.09601
  73 73 10 24.3841 7.09601
  74 74 10 26.4161 7.09601
  75 75 10 28.4481 7.09601
  76 76 10 30.4801 7.09601
  77 77 10 32.5121 7.09601
  78 78 10 34.5441 7.09601
  79 79 10 36.5761 7.09601
  80 80 10 38.6081 7.09601
  81 81 10 0 9.12802
  82 82 10 2.032 9.12802
  83 83 10 4.06401 9.12802
  84 84 10 6.09602 9.12802
  85 85 10 8.12802 9.12802
  86 86 10 10.16 9.12802
  87 87 10 12.192 9.12802
  88 88 10 14.224 9.12802
  89 89 10 16.256 9.12802
  90 90 10 18.288 9.12802
  91 91 10 20.3201 9.12802
  92 92 10 22.3521 9.12802
  93 93 10 24.3841 9.12802
  94 94 10 26.4161 9.12802
  95 95 10 28.4481 9.12802
  96 96 10 30.4801 9.12802
  97 97 10 32.5121 9.12802
  98 98 10 34.5441 9.12802
  99 99 10 36.5761 9.12802
  100 100 10 38.6081 9.12802
  101 101 10 0 11.16
  102 102 10 2.032 11.16
  103 103 10 4.06401 11.16
  104 104 10 6.09602 11.16
  105 105 10 8.12802 11.16
  106 106 10 10.16 11.16
  107 107 10 12.192 11.16
  108 108 10 14.224 11.16
  109 109 10 16.256 11.16
  110 110 10 18.288 11.16
  111 111 10 20.3201 11.16
  112 112 10 22.3521 11.16
  113 113 10 24.3841 11.16
  114 114 10 26.4161 11.16
  115 115 10 28.4481 11.16
  116 116 10 30.4801 11.16
  117 117 10 32.5121 11.16
  118 118 10 34.5441 11.16
  119 119 10 36.5761 11.16
  120 120 10 38.6081 11.16
  121 121 10 0 13.192
  122 122 10 2.032 13.192
  123 123 10 4.06401 13.192
  124 124 10 6.09602 13.192
  125 125 10 8.12802 13.192
  126 126 10 10.16 13.192
  127 127 10 12.192 13.192
  128 128 10 14.224 13.192
  129 129 10 16.256 13.192
  130 130 10 18.288 13.192
  131 131 10 20.3201 13.192
  132 132 10 22.3521 13.192
  133 133 10 24.3841 13.192
  134 134 10 26.4161 13.192
  135 135 10 28.4481 13.192
  136 136 10 30.4801 13.192
  137 137 10 32.5121 13.192
  138 138 10 34.5441 13.192
  139 139 10 36.5761 13.192
  140 140 10 38.6081 13.192
  141 141 10 0 15.224
  142 142 10 2.032 15.224
  143 143 10 4.06401 15.224
  144 144 10 6.09602 15.224
  145 145 10 8.12802 15.224
  146 146 10 10.16 15.224
  147 147 10 12.192 15.224
  148 148 10 14.224 15.224
  149 149 10 16.256 15.224
  150 150 10 18.288 15.224
  151 151 10 20.3201 15.224
  152 152 10 22.3521 15.224
  153 153 10 24.3841 15.224
  154 154 10 26.4161 15.224
  155 155 10 28.4481 15.224
  156 156 10 30.4801 15.224
  157 157 10 32.5121 15.224
  158 158 10 34.5441 15.224
  159 159 10 36.5761 15.224
  160 160 10 38.6081 15.224
  161 161 10 0 17.256
  162 162 10 2.032 17.256
  163 163 10 4.06401 17.256
  164 164 10 6.09602 17.256
  165 165 10 8.12802 17.256
  166 166 10 10.16 17.256
  167 167 10 12.192 17.256
  168 168 10 14.224 17.256
  169 169 10 16.256 17.256
  170 170 10 18.288 17.256
  171 171 10 20.3201 17.256
  172 172 10 22.3521 17.256
  173 173 10 24.3841 17.256
  174 174 10 26.4161 17.256
  175 175 10 28.4481 17.256
  176 176 10 30.4801 17.256
  177 177 10 32.5121 17.256
  178 178 10 34.5441 17.256
  179 179 10 36.5761 17.256
  180 180 10 38.6081 17.256
  181 181 10 0 19.288
  182 182 10 2.032 19.288
  183 183 10 4.06401 19.288
  184 184 10 6.09602 19.288
  185 185 10 8.12802 19.288
  186 186 10 10.16 19.288
  187 187 10 12.192 19.288
  188 188 10 14.224 19.288
  189 189 10 16.256 19.288
  190 190 10 18.288 19.288
  191 191 10 20.3201 19.288
  192 192 10 22.3521 19.288
  193 193 10 24.3841 19.288
  194 194 10 26.4161 19.288
  195 195 10 28.4481 19.288
  196 196 10 30.4801 19.288
  197 197 10 32.5121 19.288
  198 198 10 34.5441 19.288
  199 199 10 36.5761 19.288
  200 200 10 38.6081 19.288
  201 201 10 0 21.3201
  202 202 10 2.032 21.3201
  203 203 10 4.06401 21.3201
  204 204 10 6.09602 21.3201
  205 205 10 8.12802 21.3201
  206 206 10 10.16 21.3201
  207 207 10 12.192 21.3201
  208 208 10 14.224 21.3201
  209 209 10 16.256 21.3201
  210 210 10 18.288 21.3201
  211 211 10 20.3201 21.3201
  212 212 10 22.3521 21.3201
  213 213 10 24.3841 21.3201
  214 214 10 26.4161 21.3201
  215 215 10 28.4481 21.3201
  216 216 10 30.4801 21.3201
  217 217 10 32.5121 21.3201
  218 218 10 34.5441 21.3201
  219 219 10 36.5761 21.3201
  220 220 10 38.6081 21.3201
  221 221 10 0 23.3521
  222 222 10 2.032 23.3521
  223 223 10 4.06401 23.3521
  224 224 10 6.09602 23.3521
  225 225 10 8.12802 23.3521
  226 226 10 10.16 23.3521
  227 227 10 12.192 23.3521
  228 228 10 14.224 23.3521
  229 229 10 16.256 23.3521
  230 230 10 18.288 23.3521
  231 231 10 20.3201 23.3521
  232 232 10 22.3521 23.3521
  233 233 10 24.3841 23.3521
  234 234 10 26.4161 23.3521
  235 235 10 28.4481 23.3521
  236 236 10 30.4801 23.3521
  237 237 10 32.5121 23.3521
  238 238 10 34.5441 23.3521
  239 239 10 36.5761 23.3521
  240 240 10 38.6081 23.3521
  241 241 10 0 25.3841
  242 242 10 2.032 25.3841
  243 243 10 4.06401 25.3841
  244 244 10 6.09602 25.3841
  245 245 10 8.12802 25.3841
