# Chunk-averaged data for fix wall_1d and group wall
# Timestep Number-of-chunks Total-count
# Chunk OrigID Ncount v_z
0 44 7800
  1 1 200 1
  2 2 200 3.03201
  3 3 200 5.06401
  4 4 200 7.09602
  5 5 200 9.12802
  6 6 200 11.16
  7 7 200 13.192
  8 8 200 15.224
  9 9 200 17.256
  10 10 200 19.288
  11 11 200 21.32
  12 12 200 23.3521
  13 13 200 25.3841
  14 14 200 27.4161
  15 15 200 29.4481
  16 16 200 31.4801
  17 17 200 33.5121
  18 18 100 35.5441
  19 19 100 37.5761
  20 20 100 39.6081
  21 21 100 41.6401
  22 22 100 43.6721
  23 23 100 136.4
  24 24 100 138.432
  25 25 100 140.464
  26 26 100 142.496
  27 27 100 144.528
  28 28 200 146.56
  29 29 200 148.592
  30 30 200 150.624
  31 31 200 152.656
  32 32 200 154.688
  33 33 200 156.72
  34 34 200 158.752
  35 35 200 160.784
  36 36 200 162.816
  37 37 200 164.848
  38 38 200 166.88
  39 39 200 168.912
  40 40 200 170.944
  41 41 200 172.976
  42 42 200 175.008
  43 43 200 177.04
  44 44 200 179.072
