ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7800
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0640099999999997e+01
0.0000000000000000e+00 4.0640099999999997e+01
0.0000000000000000e+00 1.8407236603850316e+02
ITEM: ATOMS id v_xi
3904 1
3941 1
3944 1
3981 1
3984 1
4021 1
4024 1
4061 1
4064 1
4101 1
4104 1
4141 1
4221 1
4144 1
4181 1
4184 1
3901 1
4224 1
4261 1
4264 1
4741 1
4781 1
4304 1
4341 1
4344 1
4381 1
4461 1
4821 1
4861 1
4384 1
4421 1
4424 1
4464 1
4501 1
4504 1
4541 1
4901 1
4941 1
4544 1
4581 1
4584 1
4621 1
4981 1
5021 1
4301 1
4624 1
4661 1
4664 1
4701 1
5061 1
4704 1
4744 1
5104 1
5141 1
5144 1
5181 1
4784 1
4824 1
5184 1
5221 1
5224 1
5261 1
4864 1
4904 1
5264 1
5301 1
5304 1
5341 1
5421 1
4944 1
4984 1
5344 1
5381 1
5384 1
5101 1
5424 1
5461 1
5464 1
5024 1
5064 1
5504 1
5541 1
5544 1
5581 1
5904 1
5941 1
5944 1
5981 1
5661 1
5984 1
6021 1
6024 1
6061 1
5584 1
5621 1
5624 1
5664 1
5701 1
5704 1
5741 1
6064 1
6101 1
6104 1
6141 1
5821 1
6144 1
6181 1
6184 1
6221 1
5744 1
5781 1
5784 1
5501 1
5824 1
5861 1
5864 1
5901 1
6224 1
6261 1
6264 1
6304 1
6341 1
6344 1
6381 1
6741 1
6781 1
6384 1
6421 1
6424 1
6461 1
6821 1
6861 1
6901 1
6941 1
6464 1
6501 1
6504 1
6541 1
6621 1
6981 1
7021 1
6544 1
6581 1
6584 1
6301 1
6624 1
6661 1
6664 1
6701 1
7061 1
6704 1
6744 1
7131 1
7161 1
6784 1
6824 1
7191 1
7221 1
6864 1
6904 1
7251 1
7281 1
6944 1
6984 1
7311 1
7341 1
7024 1
7064 1
7101 1
7371 1
3121 1
3124 1
3161 1
3164 1
3441 1
3471 1
3041 1
3044 1
3081 1
3084 1
3381 1
3411 1
2961 1
2964 1
3001 1
3004 1
3321 1
3351 1
2881 1
2884 1
2921 1
2924 1
3261 1
3291 1
3201 1
3231 1
2801 1
2804 1
2841 1
2844 1
2321 1
2324 1
2361 1
2364 1
2721 1
2724 1
2761 1
2764 1
2641 1
2644 1
2681 1
2684 1
2241 1
2244 1
2281 1
2284 1
2161 1
2164 1
2201 1
2204 1
2561 1
2564 1
2601 1
2604 1
2481 1
2484 1
2521 1
2524 1
2081 1
2084 1
2121 1
2124 1
2001 1
2004 1
2041 1
2044 1
2401 1
2404 1
2441 1
2444 1
1524 1
1564 1
1921 1
1924 1
1961 1
1964 1
1444 1
1484 1
1841 1
1844 1
1881 1
1884 1
1364 1
1404 1
1761 1
1764 1
1801 1
1804 1
1721 1
1724 1
1284 1
1324 1
1681 1
1684 1
1601 1
1604 1
1641 1
1644 1
1204 1
1244 1
724 1
764 1
1121 1
1124 1
1161 1
1164 1
1521 1
1561 1
1041 1
1044 1
1081 1
1084 1
1441 1
1481 1
644 1
684 1
564 1
604 1
961 1
964 1
1001 1
1004 1
1361 1
1401 1
881 1
884 1
921 1
924 1
1281 1
1321 1
484 1
524 1
404 1
444 1
801 1
804 1
841 1
844 1
1201 1
1241 1
321 1
324 1
361 1
364 1
721 1
761 1
241 1
244 1
281 1
284 1
641 1
681 1
561 1
601 1
161 1
164 1
201 1
204 1
121 1
124 1
481 1
521 1
81 1
84 1
1 1
4 1
41 1
44 1
401 1
441 1
3938 2
3978 2
3979 2
4019 2
4018 2
4058 2
4059 2
4099 2
4098 2
4138 2
4139 2
4179 2
4218 2
4219 2
4259 2
4178 2
3939 2
4258 2
4298 2
4299 2
4738 2
4778 2
4338 2
4378 2
4379 2
4419 2
4458 2
4459 2
4499 2
4818 2
4858 2
4418 2
4498 2
4538 2
4539 2
4579 2
4898 2
4938 2
4578 2
4618 2
4619 2
4659 2
4978 2
5018 2
4339 2
4658 2
4698 2
4699 2
5058 2
5098 2
4779 2
4819 2
5138 2
5178 2
5179 2
